start	end	text
297500	300500	I would take out the navy blue, and I'd make it white.
300500	302000	I don't think any other color.
302000	304000	Something like white for the border on,
304000	306500	kind of like showing you, hey, you can add more things here.
306500	307000	OK.
307000	309500	Or maybe like having this lighter shades of green
309500	310500	or something similar to that.
310500	312500	Or I would make this white.
312500	314500	The dash would almost take white to contrast it.
314500	315500	Or white.
315500	318500	In fact, swapping the contrast colors, say, with orange,
318500	321500	would you say would be a better option?
321500	325500	Or maybe something more similar.
325500	327000	I would say that you come with the orange,
327000	329500	but I would say it would not go well with this.
329500	332500	I think contrast, well, it just wouldn't look that.
332500	334000	When it comes to color schemes, I
334000	336500	think it's better to be simpler rather than more complex.
336500	339500	So utilizing white and black and contrast
339500	341500	more and using the same two colors
341500	343500	rather than having lots of different shades
343500	344500	of the same color.
345000	349500	I would say having one bright color within the app
349500	352000	for buttons or maybe for something like these
352000	354000	to show, OK, we have color.
354000	357500	But having the two main, maybe black and white or black
357500	360500	and some other color that is focused on the app as well
360500	363500	could represent you as a company and the app as well.
363500	364000	Cool.
364000	365000	Appreciate it.
365000	365500	OK.
365500	367500	And final question.
367500	369000	If it's where we are, would you use it?
369000	370000	Why or why not?
370000	371500	What would be some good things and what
371500	374000	would be some drawbacks using it?
374000	376000	I actually have a really similar app to this
376000	378000	that I use with my flatmates.
378000	380000	And I think that this has more functionality
380000	382500	for doing different things because it tracks your upcoming
382500	384000	payments, which would be useful.
384000	386500	But the app that I use is definitely a lot simpler,
386500	389000	just because it focuses really on those really simple
389000	392500	add an expense and pay it with your flatmates.
392500	394000	So I'd probably stick with that just
394000	395500	because that's all that I need it for.
395500	397000	But if I wanted an app that could
397000	399000	track my expenses and my budget and stuff,
399000	401500	then I think this would be useful.
401500	402000	I would use it.
402000	403500	It kind of reminds me a little bit.
409500	412500	So any significant drawbacks to the experience using the app?
412500	415000	What does it show?
415000	417500	For me, not really.
417500	419500	Nothing in particular.
419500	422000	There were the minor issues that we had.
422000	425000	But other than that, it's pretty good app.
425000	425500	Thank you.
425500	426000	Cool.
426000	426500	Yeah.
426500	427500	I think that's pretty much it.
427500	429000	Rashid, Amish, nothing else?
429000	429500	No.
429500	430000	Cool.
430000	431000	Thank you for your time.
431000	431500	Thank you.
431500	432500	No worries.
432500	433000	Cool.
433000	435000	So what are all your names?
435000	435500	Rachel.
435500	436000	Rachel.
436000	437000	Arianna.
437000	438500	Karen.
438500	439000	Cool.
439000	440500	Yeah.
