start	end	text
260800	262480	OK, I'll go back to home now.
262480	263680	Sounds good.
263680	270080	All right, next up, I'd like you to look at a past expense.
270080	273240	Let's say garbage from last week.
273240	277160	And can you just tell me who paid that garbage expense
277160	278840	last week?
278840	280720	First, should I go to expense tab?
280720	282760	You say you want to go to the expense tab, OK.
282760	284080	And then what do you want to do?
284080	284720	The past week.
284720	285720	Is that what you said?
285720	286480	Yes, last week.
286480	287800	Last week.
287800	295520	So garbage was 380, flatmate person one and person two.
295520	296160	Awesome.
296160	297000	Thank you very much.
297000	298760	So flatmate person one and person two.
304560	308280	All right, thank you very much.
308280	312680	The next task is to, I'd like you
312680	319200	to look at the insights for rent over the past month or so,
319200	323160	or just look at the monthly insights for rent.
323160	325240	And just tell me what you think of it.
325240	326200	What do you see?
326200	329840	Well, I see a pie chart, which clearly describes rent
329840	338920	being 70% of my expenses, and it totaling to $1,800 monthly.
343520	345160	OK, good to know.
349120	352280	Can we move on to task five?
352280	355440	Sorry, do we want to have her correct or not?
355440	357280	OK.
357280	358760	Do we want to move on to task five?
358760	363960	Task five is, I'd like you to enable,
363960	367200	I'd like you to adjust the color scheme of the app,
367200	370920	and maybe the contrast too, if you'd like.
370920	372360	And just sort of talk about what
372360	374640	you're doing as you're doing that, what the outcome is.
374640	376800	Let's go back.
376800	383240	OK, I went to the, when I go to the, oh, what's up here?
383240	386160	Clicked on the navigation three bars.
386160	389280	Went to app settings, display settings,
389280	391920	and assume I can go to the dark mode.
391920	393440	Oh, shit, that's pretty cool.
393440	395920	OK.
395920	398000	And high contrast, oh, wow.
401920	403160	That's pretty cool.
403160	404320	What does system mean?
404320	405080	Is it just like?
407680	409440	OK, good to know.
409440	413560	Typically, the system, the app, the mobile device
413560	415240	is either set to dock or level, so we
415240	417080	can try and learn from that.
417080	421320	So then shouldn't that be the default one?
421320	423400	That's some very useful feedback, thank you.
423400	425800	All right, but can you just change some settings
425800	429080	and tell me what you changed and what you think of it?
431200	433240	Contact and support.
433240	434440	I can.
434440	436160	Sorry, I meant accessibility settings.
436160	437000	Oh, accessibility.
437000	437480	Yes.
441320	443040	That you changed.
443040	445280	Oh, the color themes.
445280	446520	Just need to read.
446520	447680	Yes.
447680	452040	Well, I changed to dark mode and to high contrast.
452040	454120	All right, and do those work well?
454120	455960	Yes, those work well.
455960	458840	Visibly changed across the page.
461680	463000	Awesome.
463000	464920	We'll move on to the next task now,
464920	469400	which is I'd like you to get some help from the app.
469400	474760	I'd like you to go and see the FAQ section, perhaps,
474760	479160	and have a look at some of the frequently asked questions.
479160	479680	OK.
479680	481520	I'm on the frequently asked questions,
481520	484640	and I can click on the questions available
484640	487280	and quickly read through them.
487280	488840	OK.
488840	490440	Well, the first one anyways.
490480	490960	Awesome.
490960	491640	Let's continue.
491640	495280	Let's I'd like you to click on the call.
495280	497160	I'd like you to find contact support
497160	500440	and fill out a support form for me.
500440	502280	Tapped out the first.
502280	507000	I think I've already, hmm, one second.
507000	513400	I can't seem to click on, let me just, like that.
513400	515240	Could I just get you to speak up a little bit
515240	517800	from the microphone, especially since there's background noise?
517800	518400	Yes.
519280	521360	I just changed my whole set up to light mode,
521360	523320	just to see if I can, yep.
523320	525760	So basically, when I was on the dark mode on high contrast,
525760	527120	I couldn't see the name.
527120	527720	OK.
527720	529160	All right, thank you very much.
529160	531880	And now I just click the name, click the email.
531880	534360	OK, could you submit a contact support form for me?
534360	536520	Yeah, I'm just going to click on the message.
536520	538880	I don't know if that types up.
538880	540680	OK, it's sent through.
540680	542920	Could you just confirm that it's been sent through?
542920	545360	Yeah, you just need to smack it a few times.
545360	546840	OK, there you go.
546840	547840	Take my issues.
547840	548840	Yeah.
548840	549840	Sent.
549840	550840	Oh, message sent.
550840	551840	Perfect.
551840	552840	Thank you very much.
552840	553840	And it also has a clear message saying
553840	557200	that I will be able to, like, feed back to you after 24,
557200	558200	48 hours.
558200	559200	Awesome.
559200	560200	Thank you very much.
560200	562720	I believe that is all of the questions, of the tasks.
562720	565240	I will now turn off the recording.
565240	566240	OK.
566240	567240	Thank you very much.
567240	568240	Thank you.
568240	569240	Thank you.
569240	570240	Thank you.
570240	571240	Thank you.
571240	572240	Thank you.
572240	573240	Thank you.
573240	574240	Thank you.
574240	575240	Thank you.
575240	576240	Thank you.
576240	577240	Thank you.
577240	578240	Thank you.
578240	579240	Thank you.
579240	580240	Thank you.
580240	581240	Thank you.
581240	582240	Thank you.
582240	582740	Thank you.
